Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Position
VER,1.0,0 days 00:01:37.284000,SOFT,4.0,1.0,1.0
VER,2.0,0 days 00:01:36.296000,SOFT,5.0,1.0,1.0
VER,3.0,0 days 00:01:36.753000,SOFT,6.0,1.0,1.0
VER,4.0,0 days 00:01:36.647000,SOFT,7.0,1.0,1.0
VER,5.0,0 days 00:01:37.173000,SOFT,8.0,1.0,1.0
VER,6.0,0 days 00:01:37.092000,SOFT,9.0,1.0,1.0
VER,7.0,0 days 00:01:37.038000,SOFT,10.0,1.0,1.0
VER,8.0,0 days 00:01:37.024000,SOFT,11.0,1.0,1.0
VER,9.0,0 days 00:01:37.229000,SOFT,12.0,1.0,1.0
VER,10.0,0 days 00:01:36.960000,SOFT,13.0,1.0,1.0
VER,11.0,0 days 00:01:37.085000,SOFT,14.0,1.0,1.0
VER,12.0,0 days 00:01:37.045000,SOFT,15.0,1.0,1.0
VER,13.0,0 days 00:01:37.030000,SOFT,16.0,1.0,1.0
VER,14.0,0 days 00:01:37.028000,SOFT,17.0,1.0,1.0
VER,15.0,0 days 00:01:37.011000,SOFT,18.0,1.0,1.0
VER,16.0,0 days 00:01:37.168000,SOFT,19.0,1.0,1.0
VER,17.0,0 days 00:01:39.896000,SOFT,20.0,1.0,1.0
VER,18.0,0 days 00:01:57.854000,HARD,1.0,2.0,1.0
VER,19.0,0 days 00:01:35.283000,HARD,2.0,2.0,1.0
VER,20.0,0 days 00:01:35.160000,HARD,3.0,2.0,1.0
VER,21.0,0 days 00:01:35.316000,HARD,4.0,2.0,1.0
VER,22.0,0 days 00:01:35.204000,HARD,5.0,2.0,1.0
VER,23.0,0 days 00:01:35.216000,HARD,6.0,2.0,1.0
VER,24.0,0 days 00:01:35.289000,HARD,7.0,2.0,1.0
VER,25.0,0 days 00:01:35.342000,HARD,8.0,2.0,1.0
VER,26.0,0 days 00:01:35.223000,HARD,9.0,2.0,1.0
VER,27.0,0 days 00:01:35.581000,HARD,10.0,2.0,1.0
VER,28.0,0 days 00:01:35.477000,HARD,11.0,2.0,1.0
VER,29.0,0 days 00:01:35.793000,HARD,12.0,2.0,1.0
VER,30.0,0 days 00:01:35.771000,HARD,13.0,2.0,1.0
VER,31.0,0 days 00:01:35.679000,HARD,14.0,2.0,1.0
VER,32.0,0 days 00:01:35.886000,HARD,15.0,2.0,1.0
VER,33.0,0 days 00:01:35.863000,HARD,16.0,2.0,1.0
VER,34.0,0 days 00:01:36.133000,HARD,17.0,2.0,1.0
VER,35.0,0 days 00:01:36.018000,HARD,18.0,2.0,1.0
VER,36.0,0 days 00:01:36.205000,HARD,19.0,2.0,1.0
VER,37.0,0 days 00:01:39.234000,HARD,20.0,2.0,1.0
VER,38.0,0 days 00:01:56.445000,SOFT,1.0,3.0,1.0
VER,39.0,0 days 00:01:32.608000,SOFT,2.0,3.0,1.0
VER,40.0,0 days 00:01:36.589000,SOFT,3.0,3.0,1.0
VER,41.0,0 days 00:01:35.290000,SOFT,4.0,3.0,1.0
VER,42.0,0 days 00:01:34.667000,SOFT,5.0,3.0,1.0
VER,43.0,0 days 00:01:34.151000,SOFT,6.0,3.0,1.0
VER,44.0,0 days 00:01:34.531000,SOFT,7.0,3.0,1.0
VER,45.0,0 days 00:01:34.249000,SOFT,8.0,3.0,1.0
VER,46.0,0 days 00:01:34.193000,SOFT,9.0,3.0,1.0
VER,47.0,0 days 00:01:34.239000,SOFT,10.0,3.0,1.0
VER,48.0,0 days 00:01:34.350000,SOFT,11.0,3.0,1.0
VER,49.0,0 days 00:01:34.403000,SOFT,12.0,3.0,1.0
VER,50.0,0 days 00:01:34.783000,SOFT,13.0,3.0,1.0
VER,51.0,0 days 00:01:34.340000,SOFT,14.0,3.0,1.0
VER,52.0,0 days 00:01:34.906000,SOFT,15.0,3.0,1.0
VER,53.0,0 days 00:01:35.600000,SOFT,16.0,3.0,1.0
VER,54.0,0 days 00:01:35.334000,SOFT,17.0,3.0,1.0
VER,55.0,0 days 00:01:35.184000,SOFT,18.0,3.0,1.0
VER,56.0,0 days 00:01:34.671000,SOFT,19.0,3.0,1.0
VER,57.0,0 days 00:01:34.923000,SOFT,20.0,3.0,1.0
PER,1.0,0 days 00:01:40.053000,SOFT,4.0,1.0,4.0
PER,2.0,0 days 00:01:36.541000,SOFT,5.0,1.0,4.0
PER,3.0,0 days 00:01:37.297000,SOFT,6.0,1.0,4.0
PER,4.0,0 days 00:01:37.722000,SOFT,7.0,1.0,4.0
PER,5.0,0 days 00:01:38.044000,SOFT,8.0,1.0,4.0
PER,6.0,0 days 00:01:37.823000,SOFT,9.0,1.0,4.0
PER,7.0,0 days 00:01:37.821000,SOFT,10.0,1.0,3.0
PER,8.0,0 days 00:01:37.838000,SOFT,11.0,1.0,3.0
PER,9.0,0 days 00:01:37.596000,SOFT,12.0,1.0,3.0
PER,10.0,0 days 00:01:37.630000,SOFT,13.0,1.0,3.0
PER,11.0,0 days 00:01:37.836000,SOFT,14.0,1.0,2.0
PER,12.0,0 days 00:01:40.277000,SOFT,15.0,1.0,3.0
PER,13.0,0 days 00:01:57.624000,HARD,1.0,2.0,8.0
PER,14.0,0 days 00:01:35.606000,HARD,2.0,2.0,6.0
PER,15.0,0 days 00:01:36.815000,HARD,3.0,2.0,3.0
PER,16.0,0 days 00:01:35.783000,HARD,4.0,2.0,2.0
PER,17.0,0 days 00:01:36.454000,HARD,5.0,2.0,2.0
PER,18.0,0 days 00:01:36.311000,HARD,6.0,2.0,2.0
PER,19.0,0 days 00:01:36.038000,HARD,7.0,2.0,2.0
PER,20.0,0 days 00:01:36.278000,HARD,8.0,2.0,2.0
PER,21.0,0 days 00:01:36.165000,HARD,9.0,2.0,2.0
PER,22.0,0 days 00:01:36.037000,HARD,10.0,2.0,2.0
PER,23.0,0 days 00:01:36.249000,HARD,11.0,2.0,2.0
PER,24.0,0 days 00:01:36.211000,HARD,12.0,2.0,2.0
PER,25.0,0 days 00:01:36.344000,HARD,13.0,2.0,2.0
PER,26.0,0 days 00:01:36.347000,HARD,14.0,2.0,2.0
PER,27.0,0 days 00:01:36.233000,HARD,15.0,2.0,2.0
PER,28.0,0 days 00:01:36.226000,HARD,16.0,2.0,2.0
PER,29.0,0 days 00:01:36.437000,HARD,17.0,2.0,2.0
PER,30.0,0 days 00:01:36.313000,HARD,18.0,2.0,2.0
PER,31.0,0 days 00:01:36.339000,HARD,19.0,2.0,2.0
PER,32.0,0 days 00:01:36.276000,HARD,20.0,2.0,2.0
PER,33.0,0 days 00:01:36.564000,HARD,21.0,2.0,2.0
PER,34.0,0 days 00:01:36.378000,HARD,22.0,2.0,2.0
PER,35.0,0 days 00:01:36.776000,HARD,23.0,2.0,2.0
PER,36.0,0 days 00:01:39.365000,HARD,24.0,2.0,2.0
PER,37.0,0 days 00:01:55.808000,SOFT,1.0,3.0,2.0
PER,38.0,0 days 00:01:34.804000,SOFT,2.0,3.0,2.0
PER,39.0,0 days 00:01:34.607000,SOFT,3.0,3.0,2.0
PER,40.0,0 days 00:01:34.364000,SOFT,4.0,3.0,2.0
PER,41.0,0 days 00:01:34.400000,SOFT,5.0,3.0,2.0
PER,42.0,0 days 00:01:34.525000,SOFT,6.0,3.0,2.0
PER,43.0,0 days 00:01:34.797000,SOFT,7.0,3.0,2.0
PER,44.0,0 days 00:01:34.799000,SOFT,8.0,3.0,2.0
PER,45.0,0 days 00:01:34.592000,SOFT,9.0,3.0,2.0
PER,46.0,0 days 00:01:34.844000,SOFT,10.0,3.0,2.0
PER,47.0,0 days 00:01:34.730000,SOFT,11.0,3.0,2.0
PER,48.0,0 days 00:01:34.885000,SOFT,12.0,3.0,2.0
PER,49.0,0 days 00:01:34.966000,SOFT,13.0,3.0,2.0
PER,50.0,0 days 00:01:35.082000,SOFT,14.0,3.0,2.0
PER,51.0,0 days 00:01:34.940000,SOFT,15.0,3.0,2.0
PER,52.0,0 days 00:01:35.183000,SOFT,16.0,3.0,2.0
PER,53.0,0 days 00:01:35.842000,SOFT,17.0,3.0,2.0
PER,54.0,0 days 00:01:35.459000,SOFT,18.0,3.0,2.0
PER,55.0,0 days 00:01:35.611000,SOFT,19.0,3.0,2.0
PER,56.0,0 days 00:01:35.568000,SOFT,20.0,3.0,2.0
PER,57.0,0 days 00:01:35.746000,SOFT,21.0,3.0,2.0
SAI,1.0,0 days 00:01:40.620000,SOFT,4.0,1.0,5.0
SAI,2.0,0 days 00:01:37.236000,SOFT,5.0,1.0,5.0
SAI,3.0,0 days 00:01:37.080000,SOFT,6.0,1.0,5.0
SAI,4.0,0 days 00:01:37.264000,SOFT,7.0,1.0,5.0
SAI,5.0,0 days 00:01:38.032000,SOFT,8.0,1.0,5.0
SAI,6.0,0 days 00:01:37.741000,SOFT,9.0,1.0,5.0
SAI,7.0,0 days 00:01:38.260000,SOFT,10.0,1.0,5.0
SAI,8.0,0 days 00:01:38.183000,SOFT,11.0,1.0,5.0
SAI,9.0,0 days 00:01:38.030000,SOFT,12.0,1.0,5.0
SAI,10.0,0 days 00:01:37.608000,SOFT,13.0,1.0,5.0
SAI,11.0,0 days 00:01:37.656000,SOFT,14.0,1.0,3.0
SAI,12.0,0 days 00:01:37.650000,SOFT,15.0,1.0,2.0
SAI,13.0,0 days 00:01:37.243000,SOFT,16.0,1.0,2.0
SAI,14.0,0 days 00:01:39.753000,SOFT,17.0,1.0,2.0
SAI,15.0,0 days 00:01:57.225000,HARD,1.0,2.0,7.0
SAI,16.0,0 days 00:01:36.376000,HARD,2.0,2.0,5.0
SAI,17.0,0 days 00:01:35.507000,HARD,3.0,2.0,4.0
SAI,18.0,0 days 00:01:36.088000,HARD,4.0,2.0,3.0
SAI,19.0,0 days 00:01:36.236000,HARD,5.0,2.0,3.0
SAI,20.0,0 days 00:01:36.034000,HARD,6.0,2.0,3.0
SAI,21.0,0 days 00:01:36.104000,HARD,7.0,2.0,3.0
SAI,22.0,0 days 00:01:36.008000,HARD,8.0,2.0,3.0
SAI,23.0,0 days 00:01:36.149000,HARD,9.0,2.0,3.0
SAI,24.0,0 days 00:01:36.200000,HARD,10.0,2.0,3.0
SAI,25.0,0 days 00:01:36.220000,HARD,11.0,2.0,3.0
SAI,26.0,0 days 00:01:36.221000,HARD,12.0,2.0,3.0
SAI,27.0,0 days 00:01:36.272000,HARD,13.0,2.0,3.0
SAI,28.0,0 days 00:01:36.534000,HARD,14.0,2.0,3.0
SAI,29.0,0 days 00:01:36.600000,HARD,15.0,2.0,3.0
SAI,30.0,0 days 00:01:36.337000,HARD,16.0,2.0,3.0
SAI,31.0,0 days 00:01:36.537000,HARD,17.0,2.0,3.0
SAI,32.0,0 days 00:01:36.762000,HARD,18.0,2.0,3.0
SAI,33.0,0 days 00:01:36.556000,HARD,19.0,2.0,3.0
SAI,34.0,0 days 00:01:36.551000,HARD,20.0,2.0,3.0
SAI,35.0,0 days 00:01:39.274000,HARD,21.0,2.0,3.0
SAI,36.0,0 days 00:01:55.620000,HARD,1.0,3.0,3.0
SAI,37.0,0 days 00:01:35.302000,HARD,2.0,3.0,3.0
SAI,38.0,0 days 00:01:35.100000,HARD,3.0,3.0,3.0
SAI,39.0,0 days 00:01:34.709000,HARD,4.0,3.0,3.0
SAI,40.0,0 days 00:01:34.739000,HARD,5.0,3.0,3.0
SAI,41.0,0 days 00:01:35.041000,HARD,6.0,3.0,3.0
SAI,42.0,0 days 00:01:34.861000,HARD,7.0,3.0,3.0
SAI,43.0,0 days 00:01:34.795000,HARD,8.0,3.0,3.0
SAI,44.0,0 days 00:01:34.507000,HARD,9.0,3.0,3.0
SAI,45.0,0 days 00:01:34.790000,HARD,10.0,3.0,3.0
SAI,46.0,0 days 00:01:34.853000,HARD,11.0,3.0,3.0
SAI,47.0,0 days 00:01:34.901000,HARD,12.0,3.0,3.0
SAI,48.0,0 days 00:01:34.981000,HARD,13.0,3.0,3.0
SAI,49.0,0 days 00:01:35.440000,HARD,14.0,3.0,3.0
SAI,50.0,0 days 00:01:35.142000,HARD,15.0,3.0,3.0
SAI,51.0,0 days 00:01:35.282000,HARD,16.0,3.0,3.0
SAI,52.0,0 days 00:01:35.083000,HARD,17.0,3.0,3.0
SAI,53.0,0 days 00:01:35.211000,HARD,18.0,3.0,3.0
SAI,54.0,0 days 00:01:35.309000,HARD,19.0,3.0,3.0
SAI,55.0,0 days 00:01:35.407000,HARD,20.0,3.0,3.0
SAI,56.0,0 days 00:01:35.305000,HARD,21.0,3.0,3.0
SAI,57.0,0 days 00:01:35.327000,HARD,22.0,3.0,3.0
LEC,1.0,0 days 00:01:38.271000,SOFT,4.0,1.0,2.0
LEC,2.0,0 days 00:01:36.862000,SOFT,5.0,1.0,2.0
LEC,3.0,0 days 00:01:38.062000,SOFT,6.0,1.0,3.0
