Year,Race,Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
2022,Bahrain,VER,Red Bull Racing,1.0,0 days 00:01:40.236000,SOFT,4.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,2.0,0 days 00:01:37.880000,SOFT,5.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,3.0,0 days 00:01:38.357000,SOFT,6.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,4.0,0 days 00:01:38.566000,SOFT,7.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,5.0,0 days 00:01:38.877000,SOFT,8.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,6.0,0 days 00:01:38.940000,SOFT,9.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,7.0,0 days 00:01:39.062000,SOFT,10.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,8.0,0 days 00:01:39.092000,SOFT,11.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,9.0,0 days 00:01:39.251000,SOFT,12.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,10.0,0 days 00:01:39.392000,SOFT,13.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,11.0,0 days 00:01:39.479000,SOFT,14.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,12.0,0 days 00:01:39.410000,SOFT,15.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,13.0,0 days 00:01:39.534000,SOFT,16.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,14.0,0 days 00:01:42.050000,SOFT,17.0,1.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,15.0,0 days 00:01:57.409000,SOFT,1.0,2.0,4.0,12
2022,Bahrain,VER,Red Bull Racing,16.0,0 days 00:01:36.905000,SOFT,2.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,17.0,0 days 00:01:37.587000,SOFT,3.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,18.0,0 days 00:01:37.717000,SOFT,4.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,19.0,0 days 00:01:37.728000,SOFT,5.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,20.0,0 days 00:01:38.257000,SOFT,6.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,21.0,0 days 00:01:38.294000,SOFT,7.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,22.0,0 days 00:01:38.243000,SOFT,8.0,2.0,2.0,1
2022,Bahrain,VER,Red Bull Racing,23.0,0 days 00:01:38.091000,SOFT,9.0,2.0,2.0,1
