Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
VER,Red Bull Racing,1.0,0 days 00:02:18.601000,INTERMEDIATE,1.0,1.0,12.0,12
VER,Red Bull Racing,2.0,0 days 00:02:04.389000,INTERMEDIATE,2.0,1.0,10.0,1
VER,Red Bull Racing,3.0,0 days 00:02:03.369000,INTERMEDIATE,3.0,1.0,9.0,1
VER,Red Bull Racing,4.0,0 days 00:02:03.238000,INTERMEDIATE,4.0,1.0,9.0,1
VER,Red Bull Racing,5.0,0 days 00:02:02.703000,INTERMEDIATE,5.0,1.0,9.0,1
VER,Red Bull Racing,6.0,0 days 00:02:03.027000,INTERMEDIATE,6.0,1.0,9.0,1
VER,Red Bull Racing,7.0,0 days 00:02:03.289000,INTERMEDIATE,7.0,1.0,9.0,12
VER,Red Bull Racing,8.0,0 days 00:02:23.240000,INTERMEDIATE,8.0,1.0,9.0,24
VER,Red Bull Racing,9.0,,INTERMEDIATE,9.0,1.0,9.0,4
VER,Red Bull Racing,10.0,,INTERMEDIATE,10.0,1.0,9.0,41
VER,Red Bull Racing,11.0,0 days 00:02:01.612000,INTERMEDIATE,11.0,1.0,7.0,1
VER,Red Bull Racing,12.0,0 days 00:02:00.967000,INTERMEDIATE,12.0,1.0,7.0,1
VER,Red Bull Racing,13.0,0 days 00:02:01.842000,INTERMEDIATE,13.0,1.0,7.0,1
VER,Red Bull Racing,14.0,0 days 00:02:01.558000,INTERMEDIATE,14.0,1.0,7.0,1
VER,Red Bull Racing,15.0,0 days 00:02:01.407000,INTERMEDIATE,15.0,1.0,7.0,1
VER,Red Bull Racing,16.0,0 days 00:02:01.138000,INTERMEDIATE,16.0,1.0,7.0,1
VER,Red Bull Racing,17.0,0 days 00:02:00.909000,INTERMEDIATE,17.0,1.0,7.0,1
VER,Red Bull Racing,18.0,0 days 00:02:00.807000,INTERMEDIATE,18.0,1.0,7.0,1
VER,Red Bull Racing,19.0,0 days 00:02:00.520000,INTERMEDIATE,19.0,1.0,7.0,1
VER,Red Bull Racing,20.0,0 days 00:02:00.559000,INTERMEDIATE,20.0,1.0,7.0,1
VER,Red Bull Racing,21.0,0 days 00:02:09.641000,INTERMEDIATE,21.0,1.0,6.0,126
VER,Red Bull Racing,22.0,,INTERMEDIATE,22.0,1.0,6.0,671
VER,Red Bull Racing,23.0,0 days 00:01:58.377000,INTERMEDIATE,23.0,1.0,6.0,1
VER,Red Bull Racing,24.0,0 days 00:01:58.784000,INTERMEDIATE,24.0,1.0,6.0,1
VER,Red Bull Racing,25.0,0 days 00:01:59.689000,INTERMEDIATE,25.0,1.0,6.0,12
VER,Red Bull Racing,26.0,0 days 00:02:22.695000,INTERMEDIATE,26.0,1.0,6.0,1267
VER,Red Bull Racing,27.0,0 days 00:02:00.464000,INTERMEDIATE,27.0,1.0,6.0,712
VER,Red Bull Racing,28.0,0 days 00:02:13.500000,INTERMEDIATE,28.0,1.0,6.0,26
VER,Red Bull Racing,29.0,,INTERMEDIATE,29.0,1.0,6.0,6
VER,Red Bull Racing,30.0,0 days 00:02:08.953000,INTERMEDIATE,30.0,1.0,6.0,671
VER,Red Bull Racing,31.0,0 days 00:01:59.035000,INTERMEDIATE,31.0,1.0,6.0,1
VER,Red Bull Racing,32.0,0 days 00:01:58.925000,INTERMEDIATE,32.0,1.0,6.0,1
VER,Red Bull Racing,33.0,0 days 00:01:59.987000,INTERMEDIATE,33.0,1.0,6.0,12
VER,Red Bull Racing,34.0,0 days 00:01:59.730000,INTERMEDIATE,34.0,1.0,5.0,1
VER,Red Bull Racing,35.0,0 days 00:02:05.082000,INTERMEDIATE,35.0,1.0,5.0,1
VER,Red Bull Racing,36.0,,MEDIUM,1.0,2.0,6.0,124
VER,Red Bull Racing,37.0,,MEDIUM,2.0,2.0,5.0,4
VER,Red Bull Racing,38.0,,MEDIUM,3.0,2.0,5.0,4
VER,Red Bull Racing,39.0,0 days 00:02:28.080000,MEDIUM,4.0,2.0,5.0,41
