Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
LEC,Ferrari,1.0,0 days 00:01:28.179000,MEDIUM,1.0,1.0,2.0,1
LEC,Ferrari,2.0,0 days 00:01:25.396000,MEDIUM,2.0,1.0,2.0,1
LEC,Ferrari,3.0,0 days 00:01:25.179000,MEDIUM,3.0,1.0,2.0,1
LEC,Ferrari,4.0,0 days 00:01:24.810000,MEDIUM,4.0,1.0,2.0,1
LEC,Ferrari,5.0,0 days 00:01:24.603000,MEDIUM,5.0,1.0,2.0,1
LEC,Ferrari,6.0,0 days 00:01:24.663000,MEDIUM,6.0,1.0,2.0,1
LEC,Ferrari,7.0,0 days 00:01:24.434000,MEDIUM,7.0,1.0,2.0,1
LEC,Ferrari,8.0,0 days 00:01:24.569000,MEDIUM,8.0,1.0,2.0,1
LEC,Ferrari,9.0,0 days 00:01:24.362000,MEDIUM,9.0,1.0,2.0,1
LEC,Ferrari,10.0,0 days 00:01:24.432000,MEDIUM,10.0,1.0,2.0,1
LEC,Ferrari,11.0,0 days 00:01:24.846000,MEDIUM,11.0,1.0,2.0,1
LEC,Ferrari,12.0,0 days 00:01:24.916000,MEDIUM,12.0,1.0,2.0,1
LEC,Ferrari,13.0,0 days 00:01:25.529000,MEDIUM,13.0,1.0,2.0,1
LEC,Ferrari,14.0,0 days 00:01:25.606000,MEDIUM,14.0,1.0,2.0,1
LEC,Ferrari,15.0,0 days 00:01:30.192000,MEDIUM,15.0,1.0,3.0,1
LEC,Ferrari,16.0,0 days 00:01:44.888000,HARD,1.0,2.0,7.0,1
LEC,Ferrari,17.0,0 days 00:01:24.270000,HARD,2.0,2.0,6.0,1
LEC,Ferrari,18.0,0 days 00:01:23.875000,HARD,3.0,2.0,6.0,1
LEC,Ferrari,19.0,0 days 00:01:24.203000,HARD,4.0,2.0,6.0,1
LEC,Ferrari,20.0,0 days 00:01:23.826000,HARD,5.0,2.0,5.0,1
LEC,Ferrari,21.0,0 days 00:01:23.880000,HARD,6.0,2.0,5.0,1
LEC,Ferrari,22.0,0 days 00:01:23.768000,HARD,7.0,2.0,5.0,1
LEC,Ferrari,23.0,0 days 00:01:23.864000,HARD,8.0,2.0,3.0,1
LEC,Ferrari,24.0,0 days 00:01:23.640000,HARD,9.0,2.0,3.0,1
LEC,Ferrari,25.0,0 days 00:01:23.590000,HARD,10.0,2.0,3.0,1
LEC,Ferrari,26.0,0 days 00:01:23.321000,HARD,11.0,2.0,3.0,1
LEC,Ferrari,27.0,0 days 00:01:23.534000,HARD,12.0,2.0,3.0,1
LEC,Ferrari,28.0,0 days 00:01:23.284000,HARD,13.0,2.0,3.0,1
LEC,Ferrari,29.0,0 days 00:01:23.229000,HARD,14.0,2.0,3.0,1
LEC,Ferrari,30.0,0 days 00:01:23.359000,HARD,15.0,2.0,3.0,1
LEC,Ferrari,31.0,0 days 00:01:23.972000,HARD,16.0,2.0,3.0,1
LEC,Ferrari,32.0,0 days 00:01:23.274000,HARD,17.0,2.0,2.0,1
LEC,Ferrari,33.0,0 days 00:01:23.226000,HARD,18.0,2.0,2.0,1
LEC,Ferrari,34.0,0 days 00:01:23.430000,HARD,19.0,2.0,2.0,1
LEC,Ferrari,35.0,0 days 00:01:23.681000,HARD,20.0,2.0,2.0,1
LEC,Ferrari,36.0,0 days 00:01:23.714000,HARD,21.0,2.0,2.0,1
LEC,Ferrari,37.0,0 days 00:01:23.550000,HARD,22.0,2.0,2.0,1
LEC,Ferrari,38.0,0 days 00:01:23.624000,HARD,23.0,2.0,2.0,1
LEC,Ferrari,39.0,0 days 00:01:23.718000,HARD,24.0,2.0,1.0,1
LEC,Ferrari,40.0,0 days 00:01:23.690000,HARD,25.0,2.0,1.0,1
LEC,Ferrari,41.0,0 days 00:01:23.611000,HARD,26.0,2.0,1.0,1
LEC,Ferrari,42.0,0 days 00:01:23.670000,HARD,27.0,2.0,1.0,1
LEC,Ferrari,43.0,0 days 00:01:23.867000,HARD,28.0,2.0,1.0,1
LEC,Ferrari,44.0,0 days 00:01:23.430000,HARD,29.0,2.0,1.0,1
LEC,Ferrari,45.0,0 days 00:01:23.731000,HARD,30.0,2.0,1.0,1
LEC,Ferrari,46.0,0 days 00:01:23.597000,HARD,31.0,2.0,1.0,1
LEC,Ferrari,47.0,0 days 00:01:23.676000,HARD,32.0,2.0,1.0,1
LEC,Ferrari,48.0,0 days 00:01:23.518000,HARD,33.0,2.0,1.0,1
LEC,Ferrari,49.0,0 days 00:01:23.467000,HARD,34.0,2.0,1.0,1
LEC,Ferrari,50.0,0 days 00:01:23.461000,HARD,35.0,2.0,1.0,1
LEC,Ferrari,51.0,0 days 00:01:23.555000,HARD,36.0,2.0,1.0,1
LEC,Ferrari,52.0,0 days 00:01:23.750000,HARD,37.0,2.0,1.0,1
LEC,Ferrari,53.0,0 days 00:01:23.268000,HARD,38.0,2.0,1.0,1
PIA,McLaren,1.0,0 days 00:01:27.623000,MEDIUM,1.0,1.0,1.0,1
PIA,McLaren,2.0,0 days 00:01:25.116000,MEDIUM,2.0,1.0,1.0,1
PIA,McLaren,3.0,0 days 00:01:25.261000,MEDIUM,3.0,1.0,1.0,1
PIA,McLaren,4.0,0 days 00:01:24.695000,MEDIUM,4.0,1.0,1.0,1
PIA,McLaren,5.0,0 days 00:01:24.660000,MEDIUM,5.0,1.0,1.0,1
PIA,McLaren,6.0,0 days 00:01:24.603000,MEDIUM,6.0,1.0,1.0,1
