Driver,Team,LapNumber,LapTime,Compound,TyreLife,Stint,Position,TrackStatus
VER,Red Bull Racing,1.0,0 days 00:01:30.827000,SOFT,1.0,1.0,4.0,1
VER,Red Bull Racing,2.0,0 days 00:01:26.401000,SOFT,2.0,1.0,3.0,1
VER,Red Bull Racing,3.0,0 days 00:01:26.181000,SOFT,3.0,1.0,3.0,1
VER,Red Bull Racing,4.0,0 days 00:01:25.782000,SOFT,4.0,1.0,3.0,1
VER,Red Bull Racing,5.0,0 days 00:01:25.512000,SOFT,5.0,1.0,2.0,1
VER,Red Bull Racing,6.0,0 days 00:01:25.660000,SOFT,6.0,1.0,2.0,1
VER,Red Bull Racing,7.0,0 days 00:01:25.297000,SOFT,7.0,1.0,2.0,1
VER,Red Bull Racing,8.0,0 days 00:01:25.618000,SOFT,8.0,1.0,2.0,1
VER,Red Bull Racing,9.0,0 days 00:01:25.886000,SOFT,9.0,1.0,2.0,1
VER,Red Bull Racing,10.0,0 days 00:01:25.953000,SOFT,10.0,1.0,2.0,1
VER,Red Bull Racing,11.0,0 days 00:01:25.858000,SOFT,11.0,1.0,2.0,1
VER,Red Bull Racing,12.0,0 days 00:01:47.245000,SOFT,12.0,1.0,1.0,1267
VER,Red Bull Racing,13.0,0 days 00:01:28.719000,SOFT,13.0,1.0,1.0,71
VER,Red Bull Racing,14.0,0 days 00:01:25.615000,SOFT,14.0,1.0,1.0,1
VER,Red Bull Racing,15.0,0 days 00:01:25.794000,SOFT,15.0,1.0,1.0,1
VER,Red Bull Racing,16.0,0 days 00:01:25.903000,SOFT,16.0,1.0,1.0,1
VER,Red Bull Racing,17.0,0 days 00:01:25.870000,SOFT,17.0,1.0,1.0,1
VER,Red Bull Racing,18.0,0 days 00:01:25.985000,SOFT,18.0,1.0,1.0,1
VER,Red Bull Racing,19.0,0 days 00:01:25.799000,SOFT,19.0,1.0,1.0,1
VER,Red Bull Racing,20.0,0 days 00:01:25.750000,SOFT,20.0,1.0,1.0,1
VER,Red Bull Racing,21.0,0 days 00:01:25.790000,SOFT,21.0,1.0,1.0,1
VER,Red Bull Racing,22.0,0 days 00:01:25.901000,SOFT,22.0,1.0,1.0,1
VER,Red Bull Racing,23.0,0 days 00:01:25.719000,SOFT,23.0,1.0,1.0,1
VER,Red Bull Racing,24.0,0 days 00:01:25.800000,SOFT,24.0,1.0,1.0,1
VER,Red Bull Racing,25.0,0 days 00:01:29.712000,SOFT,25.0,1.0,1.0,1
VER,Red Bull Racing,26.0,0 days 00:01:45.038000,MEDIUM,1.0,2.0,2.0,1
VER,Red Bull Racing,27.0,0 days 00:01:25.012000,MEDIUM,2.0,2.0,2.0,1
VER,Red Bull Racing,28.0,0 days 00:01:25.190000,MEDIUM,3.0,2.0,2.0,1
VER,Red Bull Racing,29.0,0 days 00:01:24.829000,MEDIUM,4.0,2.0,2.0,1
VER,Red Bull Racing,30.0,0 days 00:01:24.798000,MEDIUM,5.0,2.0,2.0,1
VER,Red Bull Racing,31.0,0 days 00:01:25.071000,MEDIUM,6.0,2.0,2.0,1
VER,Red Bull Racing,32.0,0 days 00:01:24.918000,MEDIUM,7.0,2.0,2.0,1
VER,Red Bull Racing,33.0,0 days 00:01:25.095000,MEDIUM,8.0,2.0,2.0,1
VER,Red Bull Racing,34.0,0 days 00:01:24.857000,MEDIUM,9.0,2.0,1.0,1
VER,Red Bull Racing,35.0,0 days 00:01:24.831000,MEDIUM,10.0,2.0,1.0,1
VER,Red Bull Racing,36.0,0 days 00:01:24.919000,MEDIUM,11.0,2.0,1.0,1
VER,Red Bull Racing,37.0,0 days 00:01:24.829000,MEDIUM,12.0,2.0,1.0,1
VER,Red Bull Racing,38.0,0 days 00:01:24.745000,MEDIUM,13.0,2.0,1.0,1
VER,Red Bull Racing,39.0,0 days 00:01:24.815000,MEDIUM,14.0,2.0,1.0,1
VER,Red Bull Racing,40.0,0 days 00:01:24.905000,MEDIUM,15.0,2.0,1.0,1
VER,Red Bull Racing,41.0,0 days 00:01:25.078000,MEDIUM,16.0,2.0,1.0,1
VER,Red Bull Racing,42.0,0 days 00:01:24.926000,MEDIUM,17.0,2.0,1.0,1
