Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,VER,Red Bull Racing,47.0,SOFT,3.0,3.0,2.0,1.0,77.998,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,48.0,SOFT,4.0,3.0,1.0,1.0,78.416,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,49.0,SOFT,5.0,3.0,1.0,1.0,78.254,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,50.0,SOFT,6.0,3.0,1.0,1.0,78.074,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,51.0,SOFT,7.0,3.0,1.0,1.0,77.958,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,52.0,SOFT,8.0,3.0,1.0,1.0,77.931,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,53.0,SOFT,9.0,3.0,1.0,1.0,78.14,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,54.0,SOFT,10.0,3.0,1.0,1.0,77.776,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,55.0,SOFT,11.0,3.0,1.0,1.0,78.021,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,56.0,SOFT,12.0,3.0,1.0,1.0,78.354,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,57.0,SOFT,13.0,3.0,1.0,1.0,78.127,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,58.0,SOFT,14.0,3.0,1.0,1.0,78.187,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,59.0,SOFT,15.0,3.0,1.0,1.0,78.114,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,60.0,SOFT,16.0,3.0,1.0,1.0,78.165,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,61.0,SOFT,17.0,3.0,1.0,1.0,78.36,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,62.0,SOFT,18.0,3.0,1.0,1.0,78.301,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,63.0,SOFT,19.0,3.0,1.0,1.0,78.543,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,64.0,SOFT,20.0,3.0,1.0,1.0,79.072,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,65.0,SOFT,21.0,3.0,1.0,1.0,79.467,3.0,Fast & Efficient Driver
2024.0,Spain,VER,Red Bull Racing,66.0,SOFT,22.0,3.0,1.0,1.0,79.774,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,1.0,SOFT,1.0,1.0,3.0,1.0,83.953,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,2.0,SOFT,2.0,1.0,3.0,1.0,80.215,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,3.0,SOFT,3.0,1.0,3.0,1.0,80.243,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,4.0,SOFT,4.0,1.0,3.0,1.0,80.702,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,5.0,SOFT,5.0,1.0,3.0,1.0,81.134,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,6.0,SOFT,6.0,1.0,3.0,1.0,81.056,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,7.0,SOFT,7.0,1.0,3.0,1.0,81.293,3.0,Fast & Efficient Driver
