Driver,Stint,Team,Compound,StintLength,AvgLapTime,AvgTyreLife
TSU,1.0,RB,SOFT,118,94.71086440677966,9.864406779661017
TSU,2.0,RB,MEDIUM,167,92.29059880239521,12.095808383233534
TSU,3.0,RB,HARD,119,89.93952941176471,11.890756302521009
TSU,4.0,RB,SOFT,56,89.42067857142857,11.357142857142858
VER,1.0,Red Bull Racing,SOFT,221,91.34809502262443,13.800904977375566
VER,2.0,Red Bull Racing,MEDIUM,244,90.2931393442623,12.672131147540984
VER,3.0,Red Bull Racing,SOFT,135,92.32648888888889,10.066666666666666
VER,4.0,Red Bull Racing,MEDIUM,28,91.01914285714285,11.142857142857142
VET,1.0,Aston Martin,SOFT,28,90.14942857142857,11.892857142857142
VET,2.0,Aston Martin,SOFT,41,101.37124390243902,14.731707317073171
VET,3.0,Aston Martin,MEDIUM,23,89.35065217391305,13.0
ZHO,1.0,Kick Sauber,SOFT,132,94.13788636363635,9.765151515151516
ZHO,2.0,Kick Sauber,MEDIUM,266,91.37374060150377,13.834586466165414
ZHO,3.0,Kick Sauber,HARD,158,91.7284493670886,14.531645569620252
ZHO,4.0,Alfa Romeo,SOFT,8,101.045875,9.75
