Team,TyreLife,LapTimeSeconds
Ferrari,1.0,105.529375
Ferrari,2.0,89.14285714285714
Ferrari,3.0,90.0273260869565
Ferrari,4.0,91.09311764705882
Ferrari,5.0,90.50910909090909
Ferrari,6.0,91.62196551724138
Ferrari,7.0,91.20620000000001
Ferrari,8.0,91.25268421052633
Ferrari,9.0,91.15358181818182
Ferrari,10.0,91.27576785714287
Ferrari,11.0,91.49701754385964
Ferrari,12.0,91.5897037037037
Ferrari,13.0,91.53272222222222
Ferrari,14.0,91.4657450980392
Ferrari,15.0,91.09527659574468
Ferrari,16.0,91.19790909090909
Ferrari,17.0,91.12167500000001
Ferrari,18.0,91.04902564102564
Ferrari,19.0,91.18375
Ferrari,20.0,90.77428125
Ferrari,21.0,91.00713333333333
Ferrari,22.0,90.51716666666665
Ferrari,23.0,90.31269999999999
Ferrari,24.0,90.14294117647059
Ferrari,25.0,89.48971428571429
Ferrari,26.0,91.52135714285714
Ferrari,27.0,87.14433333333334
Ferrari,28.0,89.22500000000001
Ferrari,29.0,89.23754545454545
Ferrari,30.0,89.64427272727272
Ferrari,31.0,90.39566666666667
Ferrari,32.0,90.865625
Ferrari,33.0,88.7514
Ferrari,34.0,91.84257142857143
Ferrari,35.0,93.05833333333334
Ferrari,36.0,94.3055
Ferrari,37.0,91.8892
Ferrari,38.0,92.0136
Ferrari,39.0,88.67599999999999
Ferrari,40.0,94.2995
Ferrari,41.0,94.2045
Ferrari,42.0,88.541
Ferrari,43.0,88.4855
Ferrari,44.0,88.3865
Ferrari,45.0,88.4785
Ferrari,46.0,88.79650000000001
Ferrari,47.0,88.967
Ferrari,48.0,88.901
Ferrari,49.0,89.34649999999999
Ferrari,50.0,79.271
Haas F1 Team,1.0,109.0090681818182
Haas F1 Team,2.0,90.81151063829786
Haas F1 Team,3.0,92.06701851851851
Haas F1 Team,4.0,92.6092
Haas F1 Team,5.0,91.79514516129032
Haas F1 Team,6.0,92.468859375
Haas F1 Team,7.0,92.23965625
Haas F1 Team,8.0,92.36152307692308
Haas F1 Team,9.0,92.14046031746032
Haas F1 Team,10.0,92.22796875
Haas F1 Team,11.0,92.56512068965517
Haas F1 Team,12.0,92.58120000000001
Haas F1 Team,13.0,92.46967272727274
Haas F1 Team,14.0,92.51203846153847
Haas F1 Team,15.0,92.54582608695652
Haas F1 Team,16.0,92.18893181818181
Haas F1 Team,17.0,92.00719512195123
Haas F1 Team,18.0,92.16432432432433
Haas F1 Team,19.0,92.5340588235294
Haas F1 Team,20.0,92.13170967741935
Haas F1 Team,21.0,92.59721428571429
Haas F1 Team,22.0,92.25204347826087
Haas F1 Team,23.0,91.9282105263158
Haas F1 Team,24.0,91.3916875
Haas F1 Team,25.0,90.83749999999999
Haas F1 Team,26.0,91.5834
Haas F1 Team,27.0,90.02883333333334
Haas F1 Team,28.0,92.66891666666668
Haas F1 Team,29.0,92.40444444444444
Haas F1 Team,30.0,90.595625
Haas F1 Team,31.0,91.13328571428572
Haas F1 Team,32.0,88.68266666666666
Haas F1 Team,33.0,87.9636
Haas F1 Team,34.0,89.9838
Haas F1 Team,35.0,90.0956
Haas F1 Team,36.0,88.77933333333333
Haas F1 Team,37.0,92.42349999999999
Haas F1 Team,38.0,83.691
Haas F1 Team,39.0,92.6265
Haas F1 Team,40.0,104.766
Kick Sauber,1.0,107.76163636363636
Kick Sauber,2.0,94.49757894736842
Kick Sauber,3.0,91.31468421052632
Kick Sauber,4.0,91.62545
Kick Sauber,5.0,90.76894999999999
Kick Sauber,6.0,91.1115
Kick Sauber,7.0,90.81035
Kick Sauber,8.0,90.993
Kick Sauber,9.0,91.0993
Kick Sauber,10.0,90.28441176470588
Kick Sauber,11.0,90.92616666666667
Kick Sauber,12.0,91.56764705882354
Kick Sauber,13.0,90.944625
Kick Sauber,14.0,90.9144375
Kick Sauber,15.0,90.97225
Kick Sauber,16.0,91.28775
Kick Sauber,17.0,91.25399999999999
Kick Sauber,18.0,91.37013333333333
Kick Sauber,19.0,91.04607142857142
Kick Sauber,20.0,90.50761538461538
Kick Sauber,21.0,91.34227272727273
Kick Sauber,22.0,91.51427272727273
Kick Sauber,23.0,91.6970909090909
Kick Sauber,24.0,91.66563636363637
Kick Sauber,25.0,92.73089999999999
Kick Sauber,26.0,92.9991
Kick Sauber,27.0,92.46933333333332
Kick Sauber,28.0,91.519
Kick Sauber,29.0,89.50683333333335
Kick Sauber,30.0,89.80383333333333
Kick Sauber,31.0,89.58783333333334
Kick Sauber,32.0,90.37266666666666
Kick Sauber,33.0,93.2376
Kick Sauber,34.0,91.61625000000001
