Model,MAE,RMSE,R²,Features,Clustering,Improvement
Baseline,4.916,9.187,0.416,10 Numeric Features,None,-
Driver-Aware,0.842,2.061,0.949,8 Features + DrivingStyleCluster,K-Means Telemetry (k=6),R² +0.533
