Driver,Team,LapNumber,Compound,TyreLife,LapTimeSeconds
VER,Red Bull Racing,61.0,SOFT,11.0,76.33
PER,Red Bull Racing,52.0,SOFT,2.0,76.666
HAM,Mercedes,62.0,SOFT,15.0,76.676
NOR,McLaren,51.0,SOFT,7.0,77.115
PER,Red Bull Racing,53.0,SOFT,3.0,77.122
NOR,McLaren,55.0,SOFT,8.0,77.182
VER,Red Bull Racing,56.0,SOFT,6.0,77.183
NOR,McLaren,53.0,SOFT,6.0,77.287
VER,Red Bull Racing,57.0,SOFT,7.0,77.306
NOR,McLaren,49.0,SOFT,5.0,77.377
